item_id,item_feedback,correction
c39,"Externalitäten und ihre Besteuerung wurden in den letzten Tagen wenig/selten angesprochen in unserem 'großen' Steuersystem, macht für mich aber weiterhin Sinn",FALSE
c20,"Das Spiel mit dem Ballet hat meine Meinung sehr beeinflusst: wie wenig man in so einem simplen Spiel Rücksicht auf schlechter gestellten nimmt. Ähnlich wie beim Kauf von Maxs Brotschale.",FALSE
c05,"Von neutral auf negativ aufgrund der Diskussion, was Luxusgüter sind und der Swarowsky-Vase",FALSE
c62,"Ja, im Durschnitt. Nicht, was jüngere Generationen betrifft.",FALSE
c17,"Eher nein: die menschliche Natur, die individuellen Charaktermerkmale spielen dafür eine wichtigere Rolle: siehe Vorbereitung der Pressekonferenz",FALSE
c14,"'c14' *ja* in unserer jetzigen Gesellschaft, *nicht* im 'Urzustand' und vice versa für 'c11'",FALSE
c11,"'c14' *ja* in unserer jetzigen Gesellschaft, *nicht* im 'Urzustand' und vice versa für 'c11'",FALSE
c45,"Da hat mich im Rahmen der CiviCon einen Artikel in Der Zeit ('Die vereinigten Staaten von Google') viel mehr in meiner Meinung 'erschüttert' und der Verzicht auf Staatsinterventionismus erschrocken.",FALSE
c43,"Freiheit im Sinne von Chancen, um ihre Freiheit zu erreichen!",FALSE
c28,"[im Bezug auf c43-Feedback: 'Freiheit im Sinne von Chancen, um ihre Freiheit zu erreichen!']... aber dabei das Allgemeinwohl nicht außer Acht lassen",FALSE
c01,"Es ist schwer, Leute davon zu überzeugen",FALSE
