item_id,item_feedback,correction
c53,"[Correction] Wen man...",TRUE
c69,"Keinen grundsätzlichen gesetzlichen Mindestlohn sondern vielleicht eher einen branchenspezifischen. Allerdings könnte dieser Mindestlohns icherlich am ehesten von Gewerkschaften angestoßen sein, (als selbst 'erkämpfter' Lohn der Arbeiter), was möglicherweise eine *gesetzliche* Vorgabe unnötig macht",FALSE
c30,"[Correction] '... auf den Wert an** natürlichen ...', '... den *s*ie abbauen ...'",TRUE
c19,"[Correction] '... ist es wichtig, das*s* Unternehmen, ...'",TRUE
c47,"[Correction] '... in ein Unternehmen investiert** und dieses ...'",TRUE
c37,"[Correction] '... beste Möglichkeit*,* um unsere ...'",TRUE
c01,"für besonders lebensnotwendig halte ich auch ein stabiles, soziales Gerüst im individuellen Umfeld (nicht gesellschaftlich)",TRUE
c09,"[Correction] 'Anteil ihr Mietein*n*ahmen,...', '... ihres gesamten Einkommen*s* ...'",TRUE
c54,"[Correction] '... mehr als *einen* *den* prozentualen Anteil ...'",TRUE
c38,"[Correction] '... natürlichen Ordnung*,* an die wir uns ...'",TRUE
c74,"[Correction] '... weniger anstrengen*,* um Geld ...'",TRUE
c39,"Die Bewertung was *schlecht* für die Allgemeinheit ist, finde ich schwierig. Es ist schlecht, wenn fossile Brennstoffe für eine Produktion genutzt werden. Aber ist es nicht auch schlecht, wenn viele Arbeitsplätze möglicherweise durch Schließung einer 'schädlichen' Produktionsstätte verloren gehen?",FALSE
c33,"[Correction] 'Wert des Landes, das** sie belegen.'",TRUE
c66,"[Correction] 'von ihrem selbstgenutze*n* Wohneigentum ...'",TRUE
c65,"[Correction] '... eigene Zukunft** und die Zukunft ...', 'Klimawandels tragen** und riesige ...'",TRUE
c72,"[Correction] '... Wenn eine Person oder *ein* Unternehmen mehrfach am Tag ...', '... sollte sie *oder es* eine Steuer ...'",TRUE
c32,"[Correction] '... eigentlich nur, das*s* die Polizei ...'",TRUE
c77,"[Correction] '... oder eine** Investorin mag an ...'",TRUE
c45,"[Correction] '... bessere Wege*,* um öffentliche ...'",TRUE
c42,"[Correction] '...setzen** und das Marktgeschehen ...",TRUE
c56,"[Correction] 'entscheiden*,* wie viel öffentliches' ... 'wollen** und wer dazu'",TRUE
c02,"[Correction] 'Talent hat** und dieses ...'",TRUE
c27,"[Correction] '... etwas besitzt*,* das €150.000 *w*ert ist** und Schulden...'",TRUE
c44,"[Correction] '... eingegangenes Ausfall**risiko ...' / ... und *ihr* erduldetes Risiko ...'",TRUE
c03,"[Correction] '... sollten *denselben* absoluten ...'",TRUE
c15,"[Correction] 'Ein*e* Arbeiterin sollte ...'",TRUE
c23,"[Correction] '... damit *a*ndere sie sehen ...'",TRUE
c57,"[Correction] '... sollte *denselben* prozentualen Anteil ...'",TRUE
