handle,metaconsensus
poll-tax,preference
corporate-income-tax,preference
personal-income-tax,preference
payroll,preference
sic-parity,preference
value-added-tax,preference
progressive-consumption-tax,preference
wealth-tax,preference
land-value-tax-resources,preference
land-value-tax,preference
financial-transaction-tax,preference
pigouvian-tax,preference
curb-corporate-power,value
ordinary-savings-norm,value
yield-2-capital-norm,belief
discretionary-owner,belief
no-tax-corporations,belief
tax-consumption,value
ability-2-pay,value
uncoerced-exchange,value
did-not-build-this,value
technocratic-unpolitical-tax,value
profit-is-exploitation,belief
natural-market-order,belief
tax-matters-wfs,value
tax-outmoded,belief
tax-is-problem,belief
market-undeserved,belief
markets-impoverished,value
markets-pragmatism,belief
markets-fail,belief
deontological-katallaxy,value
positional-consumption,belief
saving-enough,value
not-saving-enough,value
tax-more,preference
tax-income-elastic,belief
tax-income-inelastic,belief
ordoliberal-tax,value
schedule-progressive,preference
schedule-proportional,preference
schedule-regressive,preference
rich-pay-more-than-fair,belief
growth-trumps-equality,value
growth-empty,belief
tax-leisure,preference
tax-owner-occ-housing,preference
consider-unpaid-work,preference
simple-tax,value
symbolic-tax,value
consequentialist-taxation,value
people-incentives,belief
epistemological-katallaxy,belief
consumers-know-best,belief
republican-tax,value
horizontal-tax-equity,value
minimum-wage,preference
labor-no-commodity,belief
vertical-tax-equity,value
deontological-ethics,value
ethics-of-care,value
justice-as-freedom,value
industrial-policy,value
difference-principle,value
no-one-owns-land,belief
all-people-own-earth,value
poor-central-planner,belief
no-excessive-status-hierarchy,value
social-beings,belief
ontological-individualism,belief
pro-socialism,preference
ontological-classism,belief
infinite-growth,belief
use-value,belief
enough-growth,value
exchange-value,belief
limited-needs,belief
