,,,,,,,c17,,,,,,,
,,,,,,c28,c64,c76,,,,,,
,,,,,c19,c62,c45,c47,c20,,,,,
,,,,,c13,c65,c33,c36,c50,,,,,
,,,,,c15,c73,c09,c41,c53,,,,,
,,,,c61,c44,c43,c77,c23,c06,c46,,,,
,,,,c70,c59,c74,c08,c39,c31,c14,,,,
,,,c48,c11,c02,c18,c22,c67,c34,c40,c32,,,
,,,c26,c57,c75,c10,c24,c55,c01,c69,c04,,,
,,c56,c30,c58,c66,c72,c21,c63,c07,c54,c29,c25,,
c38,c37,c03,c05,c60,c51,c49,c27,c68,c42,c52,c71,c35,c16,c12
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,17,,,,,,,
,,,,,,28,64,76,,,,,,
,,,,,19,62,45,47,20,,,,,
,,,,,13,65,33,36,50,,,,,
,,,,,15,73,09,41,53,,,,,
,,,,64,44,43,77,23,06,46,,,,
,,,,70,59,74,08,39,31,14,,,,
,,,48,11,02,18,22,67,34,40,32,,,
,,,26,57,75,10,24,55,01,69,04,,,
,,56,30,58,66,72,21,63,07,54,29,25,,
38,37,03,05,60,51,49,27,68,42,52,71,35,16,12
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,17,,,,,,,
,,,,,,28,64,76,,,,,,
,,,,,19,62,45,47,20,,,,,
,,,,,13,65,23,36,50,,,,,
,,,,,15,73,69,41,53,,,,,
,,,,61,44,43,77,23,06,46,,,,
,,,,70,59,74,08,39,31,14,,,,
,,,48,11,02,18,22,67,34,40,32,,,
,,,26,57,75,10,24,55,01,69,04,,,
,,56,30,58,66,72,71,63,07,54,29,25,,
38,37,03,05,60,51,49,27,68,42,52,71,35,16,12
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
