,,,,,,,c26,,,,,,,
,,,,,,c59,c49,c41,,,,,,
,,,,,c07,c33,c24,c69,c36,,,,,
,,,,,c74,c30,c77,c73,c63,,,,,
,,,,,c71,c37,c20,c64,c68,,,,,
,,,,c05,c60,c08,c46,c10,c65,c54,,,,
,,,,c75,c66,c29,c27,c53,c06,c39,,,,
,,,c57,c48,c02,c11,c58,c19,c43,c16,c04,,,
,,,c03,c44,c12,c01,c23,c47,c34,c09,c50,,,
,,c45,c70,c21,c62,c13,c14,c42,c17,c25,c52,c32,,
c61,c51,c56,c38,c15,c72,c22,c18,c28,c35,c67,c76,c40,c31,c55
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,26,,,,,,,
,,,,,,59,49,41,,,,,,
,,,,,07,33,24,69,36,,,,,
,,,,,74,30,77,73,63,,,,,
,,,,,71,37,20,64,68,,,,,
,,,,05,60,08,46,10,65,54,,,,
,,,,75,66,29,27,53,06,39,,,,
,,,57,48,02,11,58,19,43,16,04,,,
,,,03,44,12,01,23,47,34,09,50,,,
,,45,70,21,62,13,14,42,17,25,52,32,,
61,51,56,38,15,72,22,18,28,35,67,76,40,31,55
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,26,,,,,,,
,,,,,,59,49,41,,,,,,
,,,,,07,33,24,69,36,,,,,
,,,,,74,30,77,73,63,,,,,
,,,,,71,37,20,64,68,,,,,
,,,,05,60,08,46,10,65,54,,,,
,,,,75,66,29,27,53,06,39,,,,
,,,57,48,02,11,58,19,43,16,04,,,
,,,03,44,12,01,23,47,34,09,50,,,
,,45,70,21,62,13,14,42,17,25,52,32,,
61,51,56,38,15,72,22,18,28,35,67,76,40,31,55
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
