,,,,,,,c46,,,,,,,
,,,,,,c38,c50,c04,,,,,,
,,,,,c29,c30,c42,c22,c76,,,,,
,,,,,c63,c48,c43,c35,c11,,,,,
,,,,,c34,c08,c25,c05,c19,,,,,
,,,,c16,c24,c15,c53,c21,c47,c52,,,,
,,,,c71,c27,c07,c56,c02,c44,c23,,,,
,,,c51,c70,c75,c61,c28,c36,c18,c17,c41,,,
,,,c13,c74,c33,c32,c20,c67,c58,c37,c31,,,
,,c12,c03,c69,c68,c49,c72,c06,c10,c09,c54,c01,,
c62,c64,c14,c45,c60,c66,c40,c77,c73,c57,c59,c55,c26,c39,c65
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,46,,,,,,,
,,,,,,38,50,04,,,,,,
,,,,,29,30,42,22,76,,,,,
,,,,,63,48,43,35,11,,,,,
,,,,,34,08,25,05,19,,,,,
,,,,16,24,15,53,21,47,52,,,,
,,,,71,27,07,56,02,44,23,,,,
,,,51,70,75,61,28,36,18,17,41,,,
,,,13,74,33,32,20,67,58,37,31,,,
,,12,03,69,68,49,72,06,10,09,54,01,,
62,64,14,45,60,66,40,77,73,57,59,55,26,39,65
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,46,,,,,,,
,,,,,,38,50,04,,,,,,
,,,,,29,30,42,22,76,,,,,
,,,,,63,48,43,35,11,,,,,
,,,,,34,08,25,05,19,,,,,
,,,,16,24,15,53,21,47,52,,,,
,,,,71,27,07,56,02,44,23,,,,
,,,51,70,75,61,28,36,18,17,41,,,
,,,13,74,33,32,20,67,58,37,31,,,
,,12,03,69,68,49,72,06,10,09,54,01,,
62,64,14,45,60,66,40,77,73,57,59,55,26,39,65
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
