,,,,,,,c20,,,,,,,
,,,,,,c46,c56,c59,,,,,,
,,,,,c53,c30,c13,c43,c65,,,,,
,,,,,c75,c34,c44,c01,c26,,,,,
,,,,,c14,c32,c02,c77,c31,,,,,
,,,,c49,c03,c55,c63,c73,c33,c54,,,,
,,,,c18,c52,c24,c71,c60,c36,c58,,,,
,,,c21,c12,c28,c42,c74,c68,c08,c39,c06,,,
,,,c66,c29,c50,c48,c11,c25,c40,c09,c17,,,
,,c72,c51,c61,c35,c19,c41,c22,c10,c47,c64,c07,,
c57,c27,c70,c76,c62,c45,c23,c38,c37,c15,c05,c04,c16,c67,c69
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,20,,,,,,,
,,,,,,46,56,59,,,,,,
,,,,,53,30,13,43,65,,,,,
,,,,,75,34,44,01,26,,,,,
,,,,,14,32,02,77,31,,,,,
,,,,49,03,55,63,73,33,54,,,,
,,,,18,52,24,71,60,36,58,,,,
,,,21,12,28,42,74,68,08,39,06,,,
,,,66,29,50,48,11,25,40,09,17,,,
,,72,51,61,35,19,41,22,10,47,64,07,,
57,27,70,76,62,45,23,38,37,15,05,04,16,67,69
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,20,,,,,,,
,,,,,,46,56,59,,,,,,
,,,,,53,30,13,43,65,,,,,
,,,,,75,34,44,01,26,,,,,
,,,,,14,32,02,77,31,,,,,
,,,,49,03,55,63,73,33,54,,,,
,,,,18,52,24,71,60,36,58,,,,
,,,21,12,28,42,74,68,08,39,06,,,
,,,66,29,50,48,11,25,40,09,17,,,
,,72,51,61,35,19,41,22,10,47,64,07,,
57,27,70,76,62,45,23,38,37,15,05,04,16,67,69
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
