,,,,,,,c38,,,,,,,
,,,,,,c29,c20,c40,,,,,,
,,,,,c34,c71,c24,c08,c19,,,,,
,,,,,c07,c02,c67,c13,c55,,,,,
,,,,,c48,c30,c73,c26,c25,,,,,
,,,,c04,c51,c69,c44,c35,c09,c28,,,,
,,,,c27,c62,c22,c76,c05,c31,c53,,,,
,,,c66,c45,c32,c74,c59,c23,c39,c17,c10,,,
,,,c42,c49,c68,c63,c70,c58,c46,c65,c54,,,
,,c14,c03,c72,c57,c36,c33,c06,c47,c50,c43,c52,,
c75,c12,c16,c01,c18,c41,c61,c56,c37,c15,c77,c21,c60,c11,c64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,38,,,,,,,
,,,,,,29,20,40,,,,,,
,,,,,34,71,24,08,19,,,,,
,,,,,07,02,67,13,55,,,,,
,,,,,48,30,73,26,25,,,,,
,,,,04,51,69,44,35,09,28,,,,
,,,,27,62,22,76,05,31,53,,,,
,,,66,45,32,74,59,23,39,17,10,,,
,,,42,49,68,63,70,58,46,65,54,,,
,,14,03,72,57,36,33,06,47,50,43,52,,
75,12,16,01,18,41,61,56,37,15,77,21,60,11,64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,38,,,,,,,
,,,,,,29,20,40,,,,,,
,,,,,34,71,24,08,19,,,,,
,,,,,07,02,67,13,55,,,,,
,,,,,48,30,73,26,25,,,,,
,,,,04,51,69,44,35,09,28,,,,
,,,,27,62,22,76,05,31,53,,,,
,,,66,45,32,74,59,23,39,17,10,,,
,,,42,49,68,63,70,58,46,65,54,,,
,,14,03,72,57,36,33,06,47,50,43,52,,
75,12,16,01,18,41,61,56,37,15,77,21,60,11,64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
