,,,,,,,c05,,,,,,,
,,,,,,c07,c20,c65,,,,,,
,,,,,c60,c74,c28,c38,c09,,,,,
,,,,,c56,c41,c62,c73,c52,,,,,
,,,,,c21,c30,c35,c67,c42,,,,,
,,,,c33,c14,c58,c24,c06,c47,c39,,,,
,,,,c03,c04,c57,c16,c25,c34,c11,,,,
,,,c23,c59,c27,c48,c13,c37,c46,c18,c53,,,
,,,c32,c49,c71,c15,c10,c54,c19,c55,c17,,,
,,c44,c45,c50,c02,c72,c68,c22,c08,c26,c36,c64,,
c12,c61,c75,c70,c51,c66,c29,c77,c31,c63,c01,c43,c40,c69,c76
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,05,,,,,,,
,,,,,,07,20,65,,,,,,
,,,,,60,74,28,38,09,,,,,
,,,,,56,41,62,73,52,,,,,
,,,,,21,30,35,67,42,,,,,
,,,,33,14,58,24,06,47,39,,,,
,,,,03,04,57,16,25,34,11,,,,
,,,23,59,27,48,13,37,46,18,53,,,
,,,32,49,71,15,10,54,19,55,17,,,
,,44,45,50,02,72,68,22,08,26,36,64,,
12,61,75,70,51,66,29,77,31,63,01,43,40,69,76
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,05,,,,,,,
,,,,,,07,20,65,,,,,,
,,,,,60,74,28,38,09,,,,,
,,,,,56,41,62,73,52,,,,,
,,,,,21,30,35,67,42,,,,,
,,,,33,14,58,24,06,47,39,,,,
,,,,03,04,57,16,25,34,11,,,,
,,,23,59,27,48,13,37,46,18,53,,,
,,,32,49,71,15,10,54,19,55,17,,,
,,44,45,50,02,72,68,22,08,26,36,64,,
12,61,75,70,51,66,29,77,31,63,01,43,40,69,76
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
