,,,,,,,c42,,,,,,,
,,,,,,c35,c46,c54,,,,,,
,,,,,c01,c25,c33,c39,c69,,,,,
,,,,,c58,c37,c23,c73,c11,,,,,
,,,,,c40,c12,c74,c67,c14,,,,,
,,,,c17,c03,c60,c18,c32,c07,c36,,,,
,,,,c13,c76,c45,c29,c41,c24,c28,,,,
,,,c66,c02,c16,c44,c72,c09,c26,c68,c64,,,
,,,c75,c48,c27,c50,c61,c06,c47,c55,c08,,,
,,c38,c57,c05,c30,c51,c15,c04,c65,c63,c43,c19,,
c70,c56,c49,c59,c62,c10,c52,c77,c31,c34,c53,c71,c21,c22,c20
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,42,,,,,,,
,,,,,,35,46,54,,,,,,
,,,,,01,25,33,39,69,,,,,
,,,,,58,37,23,73,11,,,,,
,,,,,40,12,74,67,14,,,,,
,,,,17,03,60,18,32,07,36,,,,
,,,,13,76,45,29,41,24,28,,,,
,,,66,02,16,44,72,09,26,68,64,,,
,,,75,48,27,50,61,06,47,55,08,,,
,,38,57,05,30,51,15,04,65,63,43,19,,
70,56,49,59,62,10,52,77,31,34,53,71,21,22,20
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,42,,,,,,,
,,,,,,35,46,54,,,,,,
,,,,,01,25,33,39,69,,,,,
,,,,,58,37,23,73,11,,,,,
,,,,,40,12,74,67,14,,,,,
,,,,17,03,60,18,32,07,36,,,,
,,,,13,76,45,29,41,24,28,,,,
,,,66,02,16,44,72,09,26,68,64,,,
,,,75,48,27,50,61,06,47,55,08,,,
,,38,57,05,30,51,15,04,65,63,43,19,,
70,56,49,59,62,10,52,77,31,34,53,71,21,22,20
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
