,,,,,,,c71,,,,,,,
,,,,,,c74,c08,c19,,,,,,
,,,,,c73,c14,c41,c20,c06,,,,,
,,,,,c16,c77,c45,c40,c37,,,,,
,,,,,c75,c51,c66,c28,c43,,,,,
,,,,c49,c63,c21,c22,c33,c53,c31,,,,
,,,,c29,c76,c24,c58,c10,c39,c23,,,,
,,,c56,c32,c46,c18,c04,c26,c69,c50,c17,,,
,,,c03,c12,c72,c30,c27,c35,c47,c54,c02,,,
,,c11,c62,c15,c36,c13,c34,c60,c25,c07,c05,c09,,
c48,c70,c61,c57,c67,c44,c38,c59,c68,c55,c42,c52,c01,c65,c64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,71,,,,,,,
,,,,,,74,08,19,,,,,,
,,,,,73,14,41,20,06,,,,,
,,,,,16,77,45,40,37,,,,,
,,,,,75,51,66,28,43,,,,,
,,,,49,63,21,22,33,53,31,,,,
,,,,29,76,24,58,10,39,23,,,,
,,,56,32,46,18,04,26,69,50,17,,,
,,,03,12,72,30,27,35,47,54,02,,,
,,11,62,15,36,13,34,60,25,07,05,09,,
48,70,61,57,67,44,38,59,68,55,42,52,01,65,64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,71,,,,,,,
,,,,,,74,08,19,,,,,,
,,,,,73,14,41,20,06,,,,,
,,,,,16,77,45,40,37,,,,,
,,,,,75,51,66,28,43,,,,,
,,,,49,63,21,22,33,53,31,,,,
,,,,29,76,24,58,10,39,23,,,,
,,,56,32,46,18,04,26,69,50,17,,,
,,,03,12,72,30,27,35,47,54,02,,,
,,11,62,15,36,13,34,60,25,07,05,09,,
48,70,61,57,67,44,38,59,68,55,42,52,01,65,64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
