item_id,item_feedback,correction
c12,"Alles hängt davon ab was unter demokratisch verstanden wird. Nur direkte Demokratie macht hier Sinn.",FALSE
c18,"Blödinn. Es gibt keine Arbeitgeberanteile. Es gibt nur ausgezahlte Lohnbestandteile. Alle Anteile plus Profit haben ihren Ursprung in der Arbeit.",FALSE
c65,"beides [c65 und c62] wenn man die gesamte Produktion betrachtet. Künftige Generationen leben von dem was ihre Ökonomie in der Zukunft produziert. Das Wohlergehen künftiger Generationen hängt davon ab das wir jetzt die Weichen für eine Ökonomie stellen, die langfristig nachhaltig produzieren kann. Mit Sparen hat das nichts zu tun aber sehr viel mit der Abwendung von der kapitalistischen Produktionsweise.",FALSE
c62,"beides [c65 und c62] wenn man die gesamte Produktion betrachtet. Künftige Generationen leben von dem was ihre Ökonomie in der Zukunft produziert. Das Wohlergehen künftiger Generationen hängt davon ab das wir jetzt die Weichen für eine Ökonomie stellen, die langfristig nachhaltig produzieren kann. Mit Sparen hat das nichts zu tun aber sehr viel mit der Abwendung von der kapitalistischen Produktionsweise.",FALSE
c73,"scheinbar gleichgestellte sind nicht wirklich gleichgestellt. Hier gilt allein der monetäre Maßstab für Gleichheit. Die Anwendung dieses Prinzips führt zu einer Ausweitung des Marktprinzips.",FALSE
c45,"Es sollten allerdings mehr und bessere Wege gefunden werden um öffentlichen & privaten Wohlstand zu fördern. Freie Software ist in der Tat ein Beispiel aber für eine Übergangsperiode brauchen wir Steuern.",FALSE
c28,"klingt gut. Ist aber nur gut wenn damit keine Marktbeziehungen gemeint sind",FALSE
c49,"Unternehmen und Institutionen lassen sich nicht auf Individuen reduzieren, deshalb müssen diese auch besteuert werden.",FALSE
c64,"Stimme ich nicht zu aber ich bewerte den Wert von Einfachheit und Verständlichkeit jetzt höher als früher.",FALSE
c17,"mag [?] stimmen aber ist das relevant?",FALSE
c72,"wer sind die Leute. Wer ist die Allgemeinheit?",FALSE
c43,"kommt darauf an was unter Freiheit verstanden wird. Wenn darunter Selbstbestimmung jenseits vom Markt verstanden wird, bin ich einverstanden.",FALSE
c66,"Allgemeine Anmerkung: Die Übung fiel mir schwerer als zu Anfang da mir viel mehr Aussagen negativ aufgestoßen sind. Mein Misstrauen gegen Experten und besonders Ökonomen, Steuerexperten und Juristen ist deutlich gestiegen. [Auch zu c66, c56, c73]",FALSE
c56,"Allgemeine Anmerkung: Die Übung fiel mir schwerer als zu Anfang da mir viel mehr Aussagen negativ aufgestoßen sind. Mein Misstrauen gegen Experten und besonders Ökonomen, Steuerexperten und Juristen ist deutlich gestiegen. [Auch zu c66, c56, c73]",FALSE
