item_id,item_feedback,correction,
c29,"Karten, mit denen ich wenig anfangen konnte",FALSE
c30,"Karten, mit denen ich wenig anfangen konnte",FALSE
c33,"Karten, mit denen ich wenig anfangen konnte",FALSE
c32,"Karten, mit denen ich wenig anfangen konnte",FALSE
c24,"Karten, mit denen ich wenig anfangen konnte",FALSE
c26,"Karten, mit denen ich wenig anfangen konnte",FALSE
c43,"Karten, mit denen ich wenig anfangen konnte",FALSE
c44,"Karten, mit denen ich wenig anfangen konnte",FALSE
c11,"Karten, mit denen ich wenig anfangen konnte",FALSE
c13,"Karten, mit denen ich wenig anfangen konnte",FALSE
c14,"Karten, mit denen ich wenig anfangen konnte",FALSE
c16,"Karten, mit denen ich wenig anfangen konnte",FALSE
c68,"Karten, mit denen ich wenig anfangen konnte",FALSE
c70,"Karten, mit denen ich wenig anfangen konnte",FALSE
c71,"Karten, mit denen ich wenig anfangen konnte",FALSE
c48,"Karten, mit denen ich wenig anfangen konnte",FALSE
c51,"Karten, mit denen ich wenig anfangen konnte",FALSE
c56,"Karten, mit denen ich wenig anfangen konnte",FALSE
