,,,,,,,c63,,,,,,,
,,,,,,c42,c11,c20,,,,,,
,,,,,c02,c43,c21,c19,c68,,,,,
,,,,,c18,c13,c40,c60,c34,,,,,
,,,,,c14,c28,c23,c76,c25,,,,,
,,,,c74,c12,c33,c46,c64,c65,c41,,,,
,,,,c61,c38,c77,c37,c26,c17,c06,,,,
,,,c45,c30,c16,c70,c58,c08,c54,c05,c31,,,
,,,c49,c62,c72,c71,c01,c52,c39,c10,c69,,,
,,c03,c50,c04,c56,c44,c29,c24,c59,c32,c35,c47,,
c22,c75,c57,c27,c51,c66,c48,c55,c15,c07,c09,c53,c67,c73,c36
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,63,,,,,,,
,,,,,,42,11,20,,,,,,
,,,,,02,43,21,19,68,,,,,
,,,,,18,13,40,60,34,,,,,
,,,,,14,28,23,76,25,,,,,
,,,,74,12,33,46,64,65,41,,,,
,,,,61,38,77,37,26,17,06,,,,
,,,45,30,16,70,58,08,54,05,31,,,
,,,49,62,72,71,01,52,39,10,69,,,
,,03,50,04,56,44,29,24,59,32,35,47,,
22,75,57,27,51,66,48,55,15,07,09,53,67,73,36
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,63,,,,,,,
,,,,,,42,11,20,,,,,,
,,,,,02,43,21,19,68,,,,,
,,,,,18,13,40,60,34,,,,,
,,,,,14,28,23,76,25,,,,,
,,,,74,12,33,46,64,65,41,,,,
,,,,61,38,77,37,26,17,06,,,,
,,,45,30,16,70,58,08,54,05,31,,,
,,,49,62,72,71,01,52,39,10,69,,,
,,03,50,04,56,56,29,24,59,32,35,47,,
22,75,57,27,51,66,66,55,15,07,09,53,67,73,63
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
