,,,,,,,c56,,,,,,,
,,,,,,c71,c63,c31,,,,,,
,,,,,c51,c32,c22,c64,c25,,,,,
,,,,,c45,c61,c59,c24,c37,,,,,
,,,,,c33,c68,c26,c73,c49,,,,,
,,,,c44,c62,c04,c08,c38,c17,c52,,,,
,,,,c07,c69,c74,c66,c23,c47,c05,,,,
,,,c27,c01,c30,c70,c35,c67,c50,c58,c19,,,
,,,c42,c13,c75,c34,c46,c41,c77,c55,c09,,,
,,c03,c72,c18,c06,c76,c40,c20,c53,c39,c65,c60,,
c12,c14,c16,c48,c57,c15,c29,c02,c21,c36,c54,c10,c43,c28,c11
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,56,,,,,,,
,,,,,,71,63,31,,,,,,
,,,,,51,32,22,64,25,,,,,
,,,,,45,61,59,24,37,,,,,
,,,,,33,68,26,73,49,,,,,
,,,,44,62,04,08,38,17,52,,,,
,,,,07,69,74,66,23,47,05,,,,
,,,27,01,30,70,35,67,50,58,19,,,
,,,42,13,75,34,46,41,77,55,09,,,
,,03,72,18,06,76,40,20,53,39,65,60,,
12,14,16,48,57,15,29,02,21,36,54,10,43,28,11
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,56,,,,,,,
,,,,,,71,63,31,,,,,,
,,,,,51,32,22,64,25,,,,,
,,,,,45,61,59,24,37,,,,,
,,,,,33,68,26,73,49,,,,,
,,,,44,62,04,08,38,17,52,,,,
,,,,07,69,74,66,23,47,05,,,,
,,,27,01,30,70,35,67,50,58,19,,,
,,,42,13,75,34,46,41,77,55,09,,,
,,03,72,18,06,76,40,20,53,39,65,60,,
12,14,16,48,57,15,29,02,21,36,54,10,43,28,11
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
