,,,,,,,c10,,,,,,,
,,,,,,c59,c14,c13,,,,,,
,,,,,c28,c34,c62,c61,c41,,,,,
,,,,,c25,c09,c46,c37,c22,,,,,
,,,,,c70,c47,c05,c23,c63,,,,,
,,,,c57,c71,c50,c11,c74,c27,c44,,,,
,,,,c03,c12,c16,c01,c38,c24,c64,,,,
,,,c68,c35,c49,c29,c07,c73,c33,c31,c36,,,
,,,c45,c15,c40,c53,c55,c77,c32,c52,c69,,,
,,c18,c67,c51,c21,c26,c02,c19,c43,c04,c06,c54,,
c56,c75,c30,c72,c20,c66,c08,c65,c60,c17,c76,c48,c58,c42,c39
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,10,,,,,,,
,,,,,,59,14,13,,,,,,
,,,,,28,34,62,61,41,,,,,
,,,,,25,09,46,37,22,,,,,
,,,,,70,47,05,23,63,,,,,
,,,,57,71,50,11,74,27,44,,,,
,,,,03,12,16,01,38,24,64,,,,
,,,68,35,49,29,07,73,33,31,36,,,
,,,45,15,40,53,55,77,32,52,69,,,
,,18,67,51,21,26,02,19,43,04,06,54,,
56,75,30,72,20,66,08,65,60,17,76,48,58,42,39
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,10,,,,,,,
,,,,,,59,14,13,,,,,,
,,,,,28,34,62,61,41,,,,,
,,,,,25,09,46,37,22,,,,,
,,,,,70,47,05,23,63,,,,,
,,,,57,71,50,11,74,27,44,,,,
,,,,03,12,16,01,38,24,64,,,,
,,,68,35,49,29,07,73,33,31,36,,,
,,,45,15,40,53,55,77,32,52,69,,,
,,18,87,51,21,26,02,19,43,04,06,54,,
56,75,30,72,20,66,08,65,60,17,76,48,58,42,39
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
