,,,,,,,c66,,,,,,,
,,,,,,c22,c34,c28,,,,,,
,,,,,c49,c21,c07,c24,c77,,,,,
,,,,,c14,c27,c37,c73,c53,,,,,
,,,,,c62,c68,c65,c10,c47,,,,,
,,,,c35,c15,c45,c58,c05,c63,c04,,,,
,,,,c32,c76,c38,c59,c18,c09,c11,,,,
,,,c12,c57,c13,c60,c33,c26,c08,c31,c36,,,
,,,c75,c44,c02,c30,c39,c17,c41,c42,c40,,,
,,c70,c61,c72,c29,c01,c71,c50,c67,c06,c54,c52,,
c03,c48,c16,c56,c51,c74,c20,c23,c46,c55,c19,c64,c43,c25,c69
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,66,,,,,,,
,,,,,,22,34,28,,,,,,
,,,,,49,21,07,24,77,,,,,
,,,,,14,27,37,73,53,,,,,
,,,,,62,68,65,10,47,,,,,
,,,,35,15,45,58,05,63,04,,,,
,,,,32,76,38,59,18,09,11,,,,
,,,12,57,13,60,33,26,08,31,36,,,
,,,75,44,02,30,39,17,41,42,40,,,
,,70,61,72,29,01,71,50,67,06,54,52,,
03,48,16,56,51,74,20,23,46,55,19,64,43,25,69
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,66,,,,,,,
,,,,,,22,34,28,,,,,,
,,,,,49,21,07,24,77,,,,,
,,,,,14,27,37,73,53,,,,,
,,,,,62,68,65,10,47,,,,,
,,,,35,15,45,58,05,63,04,,,,
,,,,32,76,38,59,18,09,11,,,,
,,,12,57,13,60,33,26,08,31,36,,,
,,,75,44,02,30,39,17,41,42,40,,,
,,70,61,72,29,01,71,50,67,06,54,52,,
03,48,16,56,51,74,20,23,46,55,19,64,43,25,69
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
