,,,,,,,c06,,,,,,,
,,,,,,c57,c09,c54,,,,,,
,,,,,c05,c63,c69,c39,c67,,,,,
,,,,,c10,c56,c66,c30,c73,,,,,
,,,,,c58,c14,c64,c26,c24,,,,,
,,,,c48,c45,c75,c07,c60,c04,c01,,,,
,,,,c38,c37,c18,c11,c34,c36,c29,,,,
,,,c15,c03,c16,c33,c42,c65,c32,c76,c55,,,
,,,c51,c21,c59,c02,c68,c28,c77,c25,c72,,,
,,c17,c61,c20,c12,c62,c22,c23,c31,c46,c19,c35,,
c13,c70,c74,c44,c50,c41,c08,c49,c27,c53,c47,c52,c43,c40,c71
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,06,,,,,,,
,,,,,,57,09,54,,,,,,
,,,,,05,63,69,39,67,,,,,
,,,,,10,56,66,30,74,,,,,
,,,,,58,14,64,26,24,,,,,
,,,,48,45,75,07,60,04,01,,,,
,,,,38,37,18,11,34,36,29,,,,
,,,15,03,16,33,42,65,32,76,55,,,
,,,51,21,59,02,68,28,77,25,72,,,
,,17,61,20,12,62,22,23,31,46,19,35,,
13,70,74,44,50,41,08,49,27,53,47,52,43,40,71
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,06,,,,,,,
,,,,,,57,09,54,,,,,,
,,,,,05,63,69,39,67,,,,,
,,,,,10,56,66,30,73,,,,,
,,,,,58,14,64,26,24,,,,,
,,,,48,45,75,07,60,04,01,,,,
,,,,38,37,18,11,34,36,29,,,,
,,,15,03,16,33,42,65,32,76,55,,,
,,,51,21,59,02,68,26,77,25,72,,,
,,17,61,20,12,62,22,23,31,46,19,35,,
13,70,74,44,50,41,08,49,27,53,47,52,43,40,71
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
