,,,,,,,c73,,,,,,,
,,,,,,c05,c33,c36,,,,,,
,,,,,c07,c31,c27,c22,c20,,,,,
,,,,,c34,c09,c52,c02,c40,,,,,
,,,,,c75,c62,c24,c59,c13,,,,,
,,,,c70,c45,c23,c56,c72,c08,c46,,,,
,,,,c01,c55,c47,c17,c67,c39,c76,,,,
,,,c49,c16,c69,c64,c61,c65,c48,c58,c10,,,
,,,c51,c21,c38,c68,c32,c28,c54,c42,c44,,,
,,c29,c03,c74,c63,c66,c77,c43,c50,c04,c06,c53,,
c12,c57,c71,c30,c35,c14,c60,c18,c25,c11,c15,c19,c26,c37,c41
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,73,,,,,,,
,,,,,,05,33,36,,,,,,
,,,,,07,31,27,22,20,,,,,
,,,,,34,09,52,02,40,,,,,
,,,,,75,62,24,59,13,,,,,
,,,,70,45,23,56,72,08,46,,,,
,,,,01,55,47,17,67,39,76,,,,
,,,49,16,69,64,61,65,48,58,10,,,
,,,51,21,38,68,32,28,54,42,44,,,
,,29,03,74,63,66,77,43,50,04,06,53,,
12,57,71,30,35,14,60,18,25,11,15,19,26,37,41
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,73,,,,,,,
,,,,,,05,33,36,,,,,,
,,,,,07,31,27,22,20,,,,,
,,,,,34,09,52,02,40,,,,,
,,,,,75,62,24,59,13,,,,,
,,,,70,45,23,56,72,08,46,,,,
,,,,01,55,47,17,67,39,76,,,,
,,,49,16,69,64,61,65,48,58,10,,,
,,,51,21,38,68,32,28,54,42,44,,,
,,29,03,74,63,66,77,43,50,04,06,53,,
12,57,71,30,35,14,60,18,25,11,15,19,26,37,41
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
