,,,,,,,c69,,,,,,,
,,,,,,c28,c22,c17,,,,,,
,,,,,c60,c20,c06,c67,c10,,,,,
,,,,,c49,c14,c41,c16,c04,,,,,
,,,,,c71,c29,c73,c53,c11,,,,,
,,,,c34,c42,c72,c38,c40,c63,c23,,,,
,,,,c07,c58,c59,c44,c65,c46,c25,,,,
,,,c12,c61,c62,c30,c50,c21,c76,c08,c18,,,
,,,c39,c45,c24,c48,c19,c43,c64,c55,c47,,,
,,c51,c15,c33,c02,c27,c77,c32,c74,c26,c01,c13,,
c75,c03,c56,c68,c57,c66,c09,c70,c35,c05,c31,c37,c36,c54,c52
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,69,,,,,,,
,,,,,,28,22,17,,,,,,
,,,,,60,20,06,67,10,,,,,
,,,,,49,14,41,16,04,,,,,
,,,,,71,29,73,53,11,,,,,
,,,,34,42,72,38,40,63,23,,,,
,,,,07,58,59,44,65,46,25,,,,
,,,12,61,62,30,50,21,76,08,18,,,
,,,39,45,24,48,19,43,64,55,47,,,
,,51,15,33,02,27,77,32,74,26,01,13,,
75,03,56,68,57,66,09,70,35,05,31,37,36,54,32
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,69,,,,,,,
,,,,,,28,22,17,,,,,,
,,,,,60,20,06,67,10,,,,,
,,,,,49,14,41,16,04,,,,,
,,,,,71,29,73,50,11,,,,,
,,,,34,42,72,38,40,63,23,,,,
,,,,07,58,59,44,65,46,25,,,,
,,,12,61,62,30,50,21,76,08,18,,,
,,,39,45,24,48,19,43,64,55,47,,,
,,51,15,33,02,27,77,32,74,26,01,13,,
75,03,56,68,57,66,09,70,35,05,31,37,36,54,52
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
