,,,,,,,c23,,,,,,,
,,,,,,c05,c43,c37,,,,,,
,,,,,c32,c27,c65,c08,c55,,,,,
,,,,,c60,c62,c73,c21,c26,,,,,
,,,,,c01,c58,c67,c22,c04,,,,,
,,,,c10,c28,c14,c24,c35,c16,c52,,,,
,,,,c68,c38,c11,c59,c63,c06,c53,,,,
,,,c66,c15,c45,c34,c77,c46,c72,c19,c36,,,
,,,c12,c51,c02,c44,c29,c20,c09,c41,c47,,,
,,c49,c75,c30,c71,c13,c17,c64,c07,c42,c18,c25,,
c70,c03,c48,c61,c57,c33,c74,c76,c56,c39,c50,c69,c54,c40,c31
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,23,,,,,,,
,,,,,,05,43,37,,,,,,
,,,,,32,27,65,08,55,,,,,
,,,,,60,62,73,21,26,,,,,
,,,,,01,58,67,22,04,,,,,
,,,,10,28,14,24,35,16,52,,,,
,,,,68,38,11,59,63,06,53,,,,
,,,66,15,45,34,77,46,72,19,36,,,
,,,12,51,02,44,29,20,09,41,47,,,
,,49,75,30,71,13,17,64,07,42,18,25,,
70,03,48,61,57,33,74,76,56,39,50,69,54,40,31
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,23,,,,,,,
,,,,,,05,43,37,,,,,,
,,,,,32,27,65,08,55,,,,,
,,,,,60,62,73,21,26,,,,,
,,,,,01,58,67,22,04,,,,,
,,,,10,28,14,24,35,16,52,,,,
,,,,68,38,11,59,63,06,53,,,,
,,,66,15,45,34,77,46,72,19,36,,,
,,,12,51,02,44,29,20,09,41,47,,,
,,49,75,30,71,13,17,64,07,42,18,25,,
70,03,48,61,57,33,74,76,56,39,50,69,54,40,31
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
