,,,,,,,c56,,,,,,,
,,,,,,c07,c02,c77,,,,,,
,,,,,c31,c34,c26,c32,c47,,,,,
,,,,,c66,c73,c19,c10,c63,,,,,
,,,,,c16,c14,c67,c38,c53,,,,,
,,,,c71,c24,c45,c46,c08,c23,c69,,,,
,,,,c59,c72,c33,c50,c28,c58,c27,,,,
,,,c61,c15,c68,c40,c43,c60,c39,c09,c17,,,
,,,c70,c44,c74,c22,c29,c13,c42,c36,c05,,,
,,c62,c30,c51,c41,c21,c76,c04,c01,c06,c52,c65,,
c57,c03,c49,c48,c55,c75,c12,c20,c18,c35,c25,c37,c54,c64,c11
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,56,,,,,,,
,,,,,,07,02,77,,,,,,
,,,,,31,34,26,32,47,,,,,
,,,,,66,73,19,10,63,,,,,
,,,,,16,14,67,38,53,,,,,
,,,,71,24,45,46,08,23,69,,,,
,,,,59,72,33,50,28,58,27,,,,
,,,61,15,68,40,43,60,39,09,17,,,
,,,70,44,74,22,29,13,42,36,05,,,
,,62,30,51,41,21,76,04,01,06,52,65,,
57,03,49,48,55,75,12,20,18,35,25,37,54,64,11
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,56,,,,,,,
,,,,,,07,02,77,,,,,,
,,,,,31,34,26,32,47,,,,,
,,,,,66,73,19,10,63,,,,,
,,,,,16,14,67,38,53,,,,,
,,,,71,24,45,46,08,23,69,,,,
,,,,59,72,33,50,28,58,27,,,,
,,,61,15,68,40,43,60,39,09,17,,,
,,,70,44,74,22,29,13,42,36,05,,,
,,62,30,51,41,21,76,04,01,06,52,65,,
57,03,49,48,55,75,12,20,18,35,25,37,54,64,11
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
