,,,,,,,c46,,,,,,,
,,,,,,c13,c76,c53,,,,,,
,,,,,c24,c09,c14,c67,c21,,,,,
,,,,,c32,c34,c38,c59,c15,,,,,
,,,,,c77,c69,c18,c35,c23,,,,,
,,,,c54,c22,c44,c26,c42,c39,c52,,,,
,,,,c75,c51,c27,c30,c05,c06,c01,,,,
,,,c02,c66,c70,c71,c19,c33,c37,c55,c36,,,
,,,c57,c72,c56,c68,c41,c43,c17,c73,c08,,,
,,c62,c48,c64,c07,c31,c58,c28,c60,c40,c47,c74,,
c12,c63,c03,c61,c45,c16,c29,c20,c49,c10,c04,c11,c50,c65,c25
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,46,,,,,,,
,,,,,,13,76,53,,,,,,
,,,,,24,09,14,67,21,,,,,
,,,,,32,34,38,59,15,,,,,
,,,,,77,69,18,35,23,,,,,
,,,,54,22,44,26,42,39,52,,,,
,,,,75,51,27,30,05,06,01,,,,
,,,02,66,70,71,19,33,37,55,36,,,
,,,57,72,56,68,41,43,17,73,08,,,
,,62,48,64,07,31,58,28,60,40,47,74,,
12,63,03,61,45,16,24,20,49,10,04,11,50,65,25
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,46,,,,,,,
,,,,,,13,76,53,,,,,,
,,,,,24,09,14,67,21,,,,,
,,,,,32,34,38,59,15,,,,,
,,,,,77,69,18,35,23,,,,,
,,,,54,22,44,26,42,39,52,,,,
,,,,75,51,27,30,05,06,01,,,,
,,,02,66,70,71,19,33,37,55,36,,,
,,,57,72,56,68,41,43,17,73,08,,,
,,62,48,64,07,31,58,28,60,40,47,74,,
12,63,03,61,45,16,24,20,49,10,04,11,50,65,25
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
