,,,,,,,c43,,,,,,,
,,,,,,c09,c46,c40,,,,,,
,,,,,c01,c59,c68,c75,c72,,,,,
,,,,,c16,c70,c08,c23,c10,,,,,
,,,,,c04,c41,c60,c37,c25,,,,,
,,,,c07,c56,c17,c02,c65,c63,c47,,,,
,,,,c06,c14,c64,c05,c58,c33,c44,,,,
,,,c62,c42,c18,c71,c35,c13,c74,c20,c67,,,
,,,c69,c19,c61,c21,c76,c55,c39,c53,c73,,,
,,c12,c48,c77,c51,c50,c27,c30,c11,c32,c31,c22,,
c38,c03,c15,c57,c45,c36,c52,c29,c34,c28,c66,c49,c24,c26,c54
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,09,46,40,,,,,,
,,,,,01,59,68,75,72,,,,,
,,,,,16,70,08,23,10,,,,,
,,,,,04,41,60,37,25,,,,,
,,,,07,56,17,02,65,63,47,,,,
,,,,06,14,64,05,58,33,44,,,,
,,,62,42,18,71,35,13,74,20,67,,,
,,,69,19,61,21,76,55,39,53,73,,,
,,12,48,77,51,50,27,30,11,32,31,22,,
38,03,15,57,45,36,52,29,34,28,66,49,24,26,54
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,09,46,40,,,,,,
,,,,,01,59,68,75,72,,,,,
,,,,,16,70,08,23,10,,,,,
,,,,,04,41,60,37,25,,,,,
,,,,07,56,17,02,65,63,47,,,,
,,,,06,14,64,05,58,33,44,,,,
,,,62,42,18,71,35,13,74,20,67,,,
,,,69,19,61,21,76,55,39,53,73,,,
,,12,48,77,51,50,27,30,11,32,31,22,,
38,03,15,57,45,36,52,29,34,28,66,49,24,26,54
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
