,,,,,,,c71,,,,,,,
,,,,,,c10,c77,c24,,,,,,
,,,,,c18,c17,c07,c63,c73,,,,,
,,,,,c15,c27,c16,c23,c67,,,,,
,,,,,c13,c72,c35,c33,c54,,,,,
,,,,c14,c05,c58,c62,c47,c76,c34,,,,
,,,,c37,c60,c30,c65,c06,c39,c55,,,,
,,,c03,c57,c56,c02,c19,c41,c69,c32,c68,,,
,,,c70,c48,c74,c28,c26,c21,c09,c50,c25,,,
,,c75,c49,c45,c42,c04,c59,c01,c52,c22,c29,c31,,
c38,c61,c66,c51,c43,c12,c44,c36,c53,c08,c64,c46,c40,c20,c11
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,71,,,,,,,
,,,,,,10,77,24,,,,,,
,,,,,18,17,07,63,73,,,,,
,,,,,15,27,16,23,67,,,,,
,,,,,13,72,35,33,54,,,,,
,,,,14,05,58,62,47,76,34,,,,
,,,,37,60,30,65,06,39,55,,,,
,,,03,57,56,02,19,41,69,32,68,,,
,,,70,48,74,28,26,21,09,50,25,,,
,,75,49,45,42,04,59,01,52,22,29,31,,
38,61,66,51,43,12,44,36,53,08,64,46,40,20,11
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,71,,,,,,,
,,,,,,10,77,24,,,,,,
,,,,,18,17,07,63,73,,,,,
,,,,,15,27,16,23,67,,,,,
,,,,,13,72,35,33,54,,,,,
,,,,14,05,58,62,47,76,34,,,,
,,,,37,60,30,65,06,39,55,,,,
,,,03,57,56,02,19,41,69,32,68,,,
,,,70,48,74,28,26,21,09,50,25,,,
,,75,49,45,42,04,59,01,52,22,29,31,,
38,61,66,51,43,12,44,36,53,08,64,46,40,20,11
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
