,,,,,,,c43,,,,,,,
,,,,,,c51,c67,c76,,,,,,
,,,,,c32,c68,c28,c40,c47,,,,,
,,,,,c30,c13,c17,c52,c10,,,,,
,,,,,c44,c33,c41,c59,c65,,,,,
,,,,c49,c24,c29,c73,c42,c25,c09,,,,
,,,,c66,c16,c71,c34,c77,c19,c06,,,,
,,,c27,c57,c48,c11,c38,c39,c63,c54,c23,,,
,,,c18,c45,c70,c14,c20,c60,c37,c46,c05,,,
,,c74,c50,c72,c22,c26,c61,c69,c08,c55,c53,c07,,
c03,c12,c75,c21,c62,c02,c56,c58,c04,c35,c36,c15,c64,c31,c01
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,51,67,76,,,,,,
,,,,,32,68,28,40,47,,,,,
,,,,,30,13,17,52,10,,,,,
,,,,,44,33,41,59,65,,,,,
,,,,49,24,29,73,42,25,09,,,,
,,,,66,16,71,34,77,19,06,,,,
,,,27,57,48,11,38,39,63,54,23,,,
,,,18,45,70,14,20,60,37,46,05,,,
,,74,50,72,22,26,61,69,08,55,53,07,,
03,12,75,21,62,02,56,58,04,35,36,15,64,31,01
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,51,67,40,,,,,,
,,,,,32,68,28,76,47,,,,,
,,,,,30,13,17,52,10,,,,,
,,,,,44,33,41,59,65,,,,,
,,,,49,24,29,73,42,25,09,,,,
,,,,66,16,71,34,77,19,06,,,,
,,,27,57,48,11,38,39,63,54,23,,,
,,,18,45,70,14,20,60,37,46,05,,,
,,74,50,72,22,26,61,69,08,55,53,07,,
03,12,75,21,62,02,56,58,04,35,36,15,64,31,01
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
