,,,,,,,c71,,,,,,,
,,,,,,c40,c68,c67,,,,,,
,,,,,c74,c60,c55,c73,c10,,,,,
,,,,,c65,c59,c43,c69,c58,,,,,
,,,,,c75,c77,c35,c62,c63,,,,,
,,,,c72,c70,c20,c30,c47,c46,c50,,,,
,,,,c66,c03,c48,c26,c37,c39,c33,,,,
,,,c56,c57,c61,c38,c22,c28,c16,c31,c52,,,
,,,c44,c49,c45,c34,c11,c17,c18,c76,c15,,,
,,c24,c27,c36,c42,c25,c14,c51,c06,c53,c12,c04,,
c09,c13,c21,c19,c29,c41,c32,c23,c05,c08,c07,c54,c02,c64,c01
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,71,,,,,,,
,,,,,,40,68,67,,,,,,
,,,,,74,60,55,73,10,,,,,
,,,,,65,59,43,69,58,,,,,
,,,,,75,77,35,62,63,,,,,
,,,,72,70,20,30,47,46,50,,,,
,,,,66,03,48,26,37,39,33,,,,
,,,56,57,61,38,22,28,16,31,52,,,
,,,44,49,45,34,11,17,18,76,15,,,
,,24,27,36,42,25,14,51,06,53,12,04,,
09,13,21,19,29,41,32,23,05,08,07,54,02,64,01
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,71,,,,,,,
,,,,,,40,68,67,,,,,,
,,,,,74,60,55,73,10,,,,,
,,,,,65,59,43,69,58,,,,,
,,,,,75,77,35,62,63,,,,,
,,,,72,70,20,30,47,46,50,,,,
,,,,66,03,48,26,37,39,33,,,,
,,,56,57,61,38,22,28,16,31,52,,,
,,,44,49,45,34,11,17,18,76,15,,,
,,24,27,36,42,25,14,51,06,53,12,04,,
09,13,21,19,29,41,32,23,05,08,07,54,02,64,01
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
