,,,,,,,c43,,,,,,,
,,,,,,c21,c01,c40,,,,,,
,,,,,c38,c50,c07,c69,c77,,,,,
,,,,,c63,c22,c68,c23,c27,,,,,
,,,,,c24,c41,c64,c30,c39,,,,,
,,,,c74,c02,c12,c05,c46,c31,c36,,,,
,,,,c75,c59,c37,c08,c73,c34,c29,,,,
,,,c57,c10,c58,c16,c32,c67,c19,c04,c52,,,
,,,c03,c06,c20,c45,c71,c42,c49,c11,c09,,,
,,c15,c61,c51,c56,c60,c33,c66,c17,c72,c76,c55,,
c70,c48,c13,c44,c62,c14,c18,c26,c65,c47,c28,c54,c35,c53,c25
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,21,01,40,,,,,,
,,,,,38,50,07,69,77,,,,,
,,,,,63,22,68,23,27,,,,,
,,,,,24,41,64,30,39,,,,,
,,,,74,02,12,05,46,31,36,,,,
,,,,75,59,37,08,73,34,29,,,,
,,,57,10,58,16,32,67,19,04,52,,,
,,,03,06,20,45,71,42,49,11,09,,,
,,15,61,51,56,60,33,66,17,72,76,55,,
70,48,13,44,62,14,18,26,65,47,28,54,35,53,25
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,21,01,40,,,,,,
,,,,,38,50,07,69,77,,,,,
,,,,,63,22,68,23,27,,,,,
,,,,,24,41,64,30,39,,,,,
,,,,74,02,12,05,46,31,36,,,,
,,,,75,59,37,08,73,34,29,,,,
,,,57,10,58,16,32,67,19,04,52,,,
,,,03,06,20,45,71,42,49,11,09,,,
,,15,61,51,56,60,33,66,17,72,76,55,,
70,48,13,44,62,14,18,26,65,47,28,54,35,53,25
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
