,,,,,,,c43,,,,,,,
,,,,,,c70,c60,c42,,,,,,
,,,,,c65,c66,c17,c20,c73,,,,,
,,,,,c30,c08,c22,c59,c39,,,,,
,,,,,c56,c48,c54,c02,c58,,,,,
,,,,c09,c77,c21,c19,c46,c28,c50,,,,
,,,,c75,c72,c33,c32,c68,c40,c26,,,,
,,,c29,c51,c07,c55,c24,c38,c76,c06,c36,,,
,,,c35,c01,c27,c74,c31,c52,c18,c04,c64,,,
,,c03,c71,c14,c34,c45,c13,c23,c11,c67,c15,c37,,
c12,c57,c49,c16,c69,c47,c62,c61,c25,c05,c63,c10,c44,c41,c53
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,70,60,42,,,,,,
,,,,,65,66,17,20,73,,,,,
,,,,,30,08,22,59,39,,,,,
,,,,,56,48,54,02,58,,,,,
,,,,09,77,21,19,46,28,50,,,,
,,,,75,72,33,32,68,40,26,,,,
,,,29,51,07,55,24,38,76,06,36,,,
,,,35,01,27,74,31,52,18,04,64,,,
,,03,71,14,34,45,13,23,11,67,15,37,,
12,57,49,16,69,47,62,61,25,05,63,10,44,41,53
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,70,60,42,,,,,,
,,,,,65,66,17,20,73,,,,,
,,,,,30,08,22,59,39,,,,,
,,,,,56,48,54,02,58,,,,,
,,,,09,77,21,19,46,28,50,,,,
,,,,75,72,33,32,68,40,26,,,,
,,,29,51,07,55,24,38,76,06,36,,,
,,,35,01,27,74,31,52,18,04,64,,,
,,03,71,14,34,45,13,23,11,67,15,37,,
12,57,49,16,69,47,62,61,25,05,63,10,44,41,53
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
