,,,,,,,c30,,,,,,,
,,,,,,c07,c33,c15,,,,,,
,,,,,c29,c70,c25,c23,c10,,,,,
,,,,,c62,c60,c16,c46,c26,,,,,
,,,,,c03,c42,c58,c40,c05,,,,,
,,,,c53,c76,c55,c41,c43,c08,c06,,,,
,,,,c61,c68,c11,c36,c04,c09,c47,,,,
,,,c51,c32,c20,c24,c71,c54,c39,c77,c17,,,
,,,c02,c48,c72,c38,c57,c14,c21,c37,c31,,,
,,c66,c56,c45,c28,c35,c74,c19,c50,c52,c22,c67,,
c75,c27,c49,c44,c65,c12,c01,c34,c59,c69,c63,c18,c73,c13,c64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,30,,,,,,,
,,,,,,07,33,15,,,,,,
,,,,,29,70,25,23,10,,,,,
,,,,,62,60,16,46,26,,,,,
,,,,,03,42,58,40,05,,,,,
,,,,53,76,55,41,43,08,06,,,,
,,,,61,68,11,36,04,09,47,,,,
,,,51,32,20,24,71,54,39,77,17,,,
,,,02,48,72,38,57,14,21,37,31,,,
,,66,56,45,28,35,74,19,50,52,22,67,,
75,27,49,44,65,12,01,34,59,69,63,18,73,13,64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,30,,,,,,,
,,,,,,07,33,15,,,,,,
,,,,,29,70,25,23,10,,,,,
,,,,,62,60,16,46,26,,,,,
,,,,,03,42,58,40,05,,,,,
,,,,53,76,55,41,43,08,06,,,,
,,,,61,68,11,36,04,09,47,,,,
,,,51,32,20,24,71,54,39,77,17,,,
,,,02,48,72,38,57,14,21,37,31,,,
,,66,56,45,28,35,74,19,50,52,22,67,,
75,27,49,44,65,12,01,34,59,69,63,18,73,13,64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
