,,,,,,,c27,,,,,,,
,,,,,,c08,c20,c09,,,,,,
,,,,,c71,c21,c77,c41,c42,,,,,
,,,,,c44,c01,c13,c06,c73,,,,,
,,,,,c72,c24,c29,c69,c14,,,,,
,,,,c56,c11,c74,c46,c47,c59,c36,,,,
,,,,c58,c49,c30,c18,c53,c68,c34,,,,
,,,c51,c15,c02,c33,c23,c63,c32,c35,c76,,,
,,,c48,c03,c60,c12,c17,c52,c67,c28,c25,,,
,,c70,c57,c62,c07,c66,c10,c65,c50,c54,c16,c40,,
c61,c38,c37,c05,c45,c75,c22,c26,c64,c19,c43,c39,c04,c31,c55
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,27,,,,,,,
,,,,,,08,20,09,,,,,,
,,,,,71,21,77,41,42,,,,,
,,,,,44,01,13,06,73,,,,,
,,,,,72,24,29,69,14,,,,,
,,,,56,11,74,46,47,59,36,,,,
,,,,58,49,30,18,53,68,34,,,,
,,,51,15,02,33,23,63,32,35,76,,,
,,,48,03,60,12,17,52,67,28,25,,,
,,70,57,62,07,66,10,65,50,54,16,40,,
61,38,37,05,45,75,22,26,64,19,43,39,04,31,55
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,27,,,,,,,
,,,,,,08,20,09,,,,,,
,,,,,71,21,77,41,42,,,,,
,,,,,44,01,13,06,73,,,,,
,,,,,72,24,29,69,14,,,,,
,,,,56,11,74,46,47,59,36,,,,
,,,,58,49,30,18,53,68,34,,,,
,,,51,15,02,33,23,63,32,35,76,,,
,,,48,03,60,12,17,52,67,28,25,,,
,,70,57,62,07,66,10,65,50,54,16,40,,
61,38,37,05,45,75,22,26,64,19,43,39,04,31,55
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
