,,,,,,,c21,,,,,,,
,,,,,,c15,c46,c07,,,,,,
,,,,,c76,c59,c63,c58,c23,,,,,
,,,,,c60,c24,c37,c42,c06,,,,,
,,,,,c33,c17,c08,c65,c22,,,,,
,,,,c49,c38,c62,c34,c47,c26,c41,,,,
,,,,c75,c27,c28,c77,c35,c71,c55,,,,
,,,c02,c45,c51,c11,c05,c50,c09,c52,c36,,,
,,,c44,c56,c48,c10,c29,c73,c67,c54,c14,,,
,,c12,c57,c68,c39,c32,c74,c16,c72,c18,c53,c69,,
c70,c03,c43,c61,c66,c30,c01,c13,c20,c19,c64,c40,c04,c25,c31
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,21,,,,,,,
,,,,,,15,46,07,,,,,,
,,,,,76,59,63,58,23,,,,,
,,,,,60,24,37,42,06,,,,,
,,,,,33,17,08,65,22,,,,,
,,,,49,38,62,34,47,26,41,,,,
,,,,75,27,28,77,35,71,55,,,,
,,,02,45,51,11,05,50,09,52,36,,,
,,,44,56,48,10,29,73,67,54,14,,,
,,12,57,68,39,32,74,16,72,18,53,69,,
70,03,43,61,66,30,01,13,20,19,64,40,04,25,31
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,21,,,,,,,
,,,,,,15,46,07,,,,,,
,,,,,76,59,63,58,23,,,,,
,,,,,60,24,37,42,06,,,,,
,,,,,33,17,08,65,22,,,,,
,,,,49,38,62,34,47,26,41,,,,
,,,,75,27,28,77,35,71,55,,,,
,,,02,45,51,11,05,50,09,52,36,,,
,,,44,56,48,10,29,73,67,54,14,,,
,,12,57,68,39,32,74,16,72,18,53,69,,
70,03,43,61,66,30,01,13,20,19,64,40,04,25,31
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
