,,,,,,,c04,,,,,,,
,,,,,,c44,c24,c60,,,,,,
,,,,,c47,c75,c33,c09,c34,,,,,
,,,,,c13,c57,c43,c01,c10,,,,,
,,,,,c17,c71,c76,c58,c07,,,,,
,,,,c69,c02,c25,c52,c39,c08,c19,,,,
,,,,c77,c66,c29,c54,c38,c73,c74,,,,
,,,c14,c59,c56,c15,c51,c28,c06,c50,c53,,,
,,,c49,c62,c45,c70,c36,c20,c65,c63,c68,,,
,,c16,c48,c30,c18,c72,c32,c05,c67,c21,c40,c26,,
c12,c03,c42,c35,c27,c64,c61,c22,c41,c31,c23,c55,c46,c11,c37
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,04,,,,,,,
,,,,,,44,24,60,,,,,,
,,,,,47,75,33,09,34,,,,,
,,,,,13,57,43,01,10,,,,,
,,,,,17,71,76,58,07,,,,,
,,,,69,02,25,52,39,08,19,,,,
,,,,77,66,29,54,38,73,74,,,,
,,,14,59,56,15,51,28,06,50,53,,,
,,,49,62,45,70,36,20,65,63,68,,,
,,16,48,30,18,72,32,05,67,21,40,26,,
12,03,42,35,27,64,61,22,41,31,23,55,46,11,37
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,04,,,,,,,
,,,,,,44,24,60,,,,,,
,,,,,47,75,33,09,34,,,,,
,,,,,13,57,43,01,10,,,,,
,,,,,17,71,76,58,07,,,,,
,,,,69,02,25,52,39,08,19,,,,
,,,,77,66,29,54,38,73,74,,,,
,,,14,59,56,15,51,28,06,50,53,,,
,,,49,62,45,70,36,20,65,63,68,,,
,,16,48,30,18,72,32,05,67,21,40,26,,
12,03,42,35,27,64,61,22,41,31,23,55,46,11,37
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
