,,,,,,,c43,,,,,,,
,,,,,,c51,c29,c09,,,,,,
,,,,,c19,c38,c31,c30,c07,,,,,
,,,,,c06,c37,c46,c52,c21,,,,,
,,,,,c61,c35,c34,c02,c15,,,,,
,,,,c66,c14,c74,c25,c08,c17,c23,,,,
,,,,c16,c05,c71,c24,c10,c63,c55,,,,
,,,c64,c40,c50,c72,c33,c44,c77,c42,c41,,,
,,,c12,c54,c20,c70,c32,c22,c18,c73,c57,,,
,,c45,c13,c69,c68,c47,c76,c11,c01,c67,c28,c39,,
c62,c75,c03,c60,c48,c59,c04,c49,c26,c58,c27,c53,c56,c36,c65
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,51,29,09,,,,,,
,,,,,19,38,31,30,07,,,,,
,,,,,06,37,46,52,21,,,,,
,,,,,61,35,34,02,15,,,,,
,,,,66,14,74,25,08,17,23,,,,
,,,,16,05,71,24,10,63,55,,,,
,,,64,40,50,72,33,44,77,42,41,,,
,,,12,54,20,70,32,22,18,73,57,,,
,,45,13,69,68,47,76,11,01,67,28,39,,
62,75,03,60,48,59,04,49,26,58,27,53,56,36,65
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,43,,,,,,,
,,,,,,51,29,09,,,,,,
,,,,,19,38,31,30,07,,,,,
,,,,,06,37,46,52,21,,,,,
,,,,,61,35,34,02,15,,,,,
,,,,66,14,74,25,08,17,23,,,,
,,,,16,05,71,24,10,63,55,,,,
,,,64,40,50,72,33,44,77,42,41,,,
,,,12,54,20,70,32,22,18,73,57,,,
,,45,13,69,68,47,76,11,01,67,28,39,,
62,75,03,60,48,59,04,49,26,58,27,53,56,36,65
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
