,,,,,,,c20,,,,,,,
,,,,,,c19,c74,c65,,,,,,
,,,,,c77,c41,c70,c18,c52,,,,,
,,,,,c69,c34,c11,c67,c54,,,,,
,,,,,c07,c13,c26,c38,c35,,,,,
,,,,c48,c53,c42,c76,c55,c39,c36,,,,
,,,,c16,c32,c30,c45,c28,c06,c44,,,,
,,,c57,c75,c37,c71,c21,c40,c01,c43,c22,,,
,,,c49,c60,c15,c72,c59,c33,c08,c14,c73,,,
,,c66,c61,c24,c46,c02,c31,c64,c09,c50,c05,c23,,
c03,c27,c62,c12,c29,c51,c68,c10,c47,c56,c58,c63,c17,c25,c04
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,20,,,,,,,
,,,,,,19,74,65,,,,,,
,,,,,77,41,70,18,52,,,,,
,,,,,69,34,11,67,54,,,,,
,,,,,07,13,26,38,35,,,,,
,,,,48,53,42,76,55,39,36,,,,
,,,,16,32,30,45,28,06,44,,,,
,,,57,75,37,71,21,40,01,43,22,,,
,,,49,60,15,72,59,33,08,14,73,,,
,,66,61,24,46,02,31,64,09,50,05,23,,
03,27,62,12,29,51,68,10,47,56,58,63,17,25,04
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,20,,,,,,,
,,,,,,19,74,65,,,,,,
,,,,,77,41,70,18,52,,,,,
,,,,,69,34,11,67,54,,,,,
,,,,,07,13,26,38,35,,,,,
,,,,48,53,42,76,55,39,36,,,,
,,,,16,32,30,45,28,06,44,,,,
,,,57,75,37,71,21,40,01,43,22,,,
,,,49,60,15,72,59,33,08,14,73,,,
,,66,61,24,46,02,31,64,09,50,05,23,,
03,27,62,12,29,51,68,10,47,56,58,63,17,25,04
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
