,,,,,,,c01,,,,,,,
,,,,,,c44,c52,c17,,,,,,
,,,,,c21,c33,c34,c10,c43,,,,,
,,,,,c75,c74,c38,c39,c41,,,,,
,,,,,c02,c66,c63,c08,c58,,,,,
,,,,c26,c68,c22,c37,c23,c06,c46,,,,
,,,,c56,c24,c57,c18,c25,c36,c47,,,,
,,,c51,c48,c61,c55,c40,c16,c42,c19,c04,,,
,,,c07,c62,c03,c72,c67,c28,c27,c13,c50,,,
,,c49,c12,c30,c60,c59,c15,c20,c11,c09,c35,c76,,
c70,c71,c29,c45,c05,c32,c14,c77,c73,c53,c54,c69,c31,c65,c64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,01,,,,,,,
,,,,,,44,52,17,,,,,,
,,,,,21,33,34,10,43,,,,,
,,,,,75,74,38,39,41,,,,,
,,,,,02,66,63,08,58,,,,,
,,,,26,68,22,37,23,06,46,,,,
,,,,56,24,57,18,25,36,47,,,,
,,,51,48,61,55,40,16,42,19,04,,,
,,,07,62,03,72,67,28,27,13,50,,,
,,49,12,30,60,59,15,20,11,09,35,76,,
70,71,29,45,05,32,14,77,73,53,54,69,31,65,64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,01,,,,,,,
,,,,,,44,52,17,,,,,,
,,,,,21,33,34,10,43,,,,,
,,,,,75,74,38,39,41,,,,,
,,,,,02,66,63,08,58,,,,,
,,,,26,68,22,37,23,06,46,,,,
,,,,56,24,57,18,25,36,47,,,,
,,,51,48,61,55,40,16,42,19,04,,,
,,,07,62,03,72,67,28,27,13,50,,,
,,49,12,30,60,59,15,20,11,09,35,76,,
70,71,29,45,05,32,14,77,73,53,54,69,31,65,64
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
