,,,,,,,c71,,,,,,,
,,,,,,c18,c02,c20,,,,,,
,,,,,c04,c46,c47,c17,c72,,,,,
,,,,,c59,c50,c44,c68,c53,,,,,
,,,,,c01,c09,c41,c23,c67,,,,,
,,,,c42,c51,c43,c63,c11,c28,c75,,,,
,,,,c14,c29,c35,c40,c74,c37,c66,,,,
,,,c19,c07,c48,c21,c77,c52,c31,c25,c54,,,
,,,c57,c69,c61,c36,c76,c08,c39,c30,c58,,,
,,c03,c06,c45,c15,c27,c05,c60,c34,c26,c49,c33,,
c38,c12,c16,c62,c56,c64,c13,c70,c55,c32,c73,c65,c10,c24,c22
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,71,,,,,,,
,,,,,,18,02,20,,,,,,
,,,,,04,46,47,17,72,,,,,
,,,,,59,50,44,68,53,,,,,
,,,,,01,09,41,23,67,,,,,
,,,,42,51,43,63,11,28,75,,,,
,,,,14,29,35,40,74,37,66,,,,
,,,19,07,48,21,77,52,31,25,54,,,
,,,57,69,61,36,76,08,39,30,58,,,
,,03,06,45,15,27,05,60,34,26,49,33,,
38,12,16,62,56,64,13,70,55,32,73,65,10,24,22
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,71,,,,,,,
,,,,,,18,02,20,,,,,,
,,,,,04,46,47,17,72,,,,,
,,,,,59,50,44,68,53,,,,,
,,,,,01,09,41,23,67,,,,,
,,,,56,51,43,63,11,28,75,,,,
,,,,45,29,35,40,74,37,66,,,,
,,,19,69,48,21,77,52,31,25,54,,,
,,,57,07,61,36,76,08,39,30,58,,,
,,03,06,14,15,27,05,60,34,26,49,33,,
38,12,16,62,42,64,13,70,55,32,73,65,10,24,22
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
